src/compact/examples/composable/cases/invalid-order/B.compact	ok	
src/compact/examples/composable/cases/invalid-order/C.compact	ok	
src/compact/examples/composable/cases/invalid-order/main.compact	ok	
src/compact/examples/composable/cases/ledger-adt-type/A.compact	ok	
src/compact/examples/composable/cases/ledger-adt-type/main.compact	ok	
src/compact/examples/composable/cases/missing-definition-circuit/A.compact	ok	
src/compact/examples/composable/cases/missing-definition-circuit/B.compact	ok	
src/compact/examples/composable/cases/missing-definition-circuit/main.compact	ok	
src/compact/examples/composable/cases/module-contract/A.compact	ok	
src/compact/examples/composable/cases/module-contract/main.compact	fail	Exception: main.compact line 29 char 26:
src/compact/examples/composable/cases/no-defined-contract/A.compact	ok	
src/compact/examples/composable/cases/no-defined-contract/main.compact	fail	Exception: main.compact line 20 char 26:
src/compact/examples/composable/cases/non-existing-circuit/A.compact	ok	
src/compact/examples/composable/cases/non-existing-circuit/main.compact	ok	
src/compact/examples/composable/cases/non-existing-contract-impl/A.compact	ok	
src/compact/examples/composable/cases/non-existing-contract-impl/B.compact	ok	
src/compact/examples/composable/cases/non-existing-contract-impl/main.compact	ok	
src/compact/examples/composable/cases/non-existing-definition/A.compact	ok	
src/compact/examples/composable/cases/non-existing-definition/main.compact	ok	
src/compact/examples/composable/cases/not-exported-circuit/A.compact	ok	
src/compact/examples/composable/cases/not-exported-circuit/main.compact	ok	
src/compact/examples/composable/cases/witness-param/A.compact	ok	
src/compact/examples/composable/cases/witness-param/main.compact	ok	
src/compact/examples/composable/cases/witness-return/A.compact	ok	
src/compact/examples/composable/cases/witness-return/main.compact	ok	
src/compact/examples/composable/direct/Calculator.compact	ok	
src/compact/examples/composable/direct/Main-circuit-parameter.compact	ok	
src/compact/examples/composable/direct/Main-circuit-return-contract.compact	ok	
src/compact/examples/composable/direct/Main-constructor-contract-create.compact	fail	Exception: Main-constructor-contract-create.compact line 26 char 12:
src/compact/examples/composable/direct/Main-constructor.compact	ok	
src/compact/examples/composable/direct/Main-export-circuit-parameter.compact	fail	Exception: Main-export-circuit-parameter.compact line 22 char 16:
src/compact/examples/composable/direct/Main-export-circuit-return-contract.compact	ok	
src/compact/examples/composable/direct/Main-interface.compact	ok	
src/compact/examples/composable/direct/Main-ledger-reference.compact	ok	
src/compact/examples/composable/direct/Main-missing-circuit.compact	fail	Exception: Main-missing-circuit.compact line 16 char 1:
src/compact/examples/composable/direct/Main.compact	fail	Exception: Main.compact line 24 char 10:
src/compact/examples/composable/graph-linear/A.compact	ok	
src/compact/examples/composable/graph-linear/B.compact	ok	
src/compact/examples/composable/graph-linear/C.compact	ok	
src/compact/examples/composable/graph-linear/D.compact	ok	
